Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,水晶石,Crystal,3926409000,25061000000,0,0.13,,,猫砂,cat litter,3824990090,250590000000,0,0,0.01,0.13,,布告栏,bulletin board,4910.00.00,16.00,0.21,0.03
,碎片,shards,3926409000,25061000000,0,0.13,,,水晶石,Crystal,3926409000,250610000000,0,0,0.01,0.13,,打气筒,inflater,8414.80.13,12.60,0.105,0
,装饰头,decorative head,3926409000,25061000000,0,0.13,,,碎片,shards,3926409000,250610000000,0,0,0.01,0.13,,空气压缩机,Air compressor,8414.80.13,12.60,0.105,0
,装饰沙,decorative sand,3926409000,25061000000,0,0.13,,,装饰头,decorative head,3926409000,250610000000,0,0,0.01,0.13,,充气泵,Inflator,8414.80.13,12.60,0.105,0
,磨脚石,Millstone,6804300000,25131010000,0,0.13,,,装饰沙,decorative sand,3926409000,250610000000,0,0,0.01,0.13,,充气泵,inflator pump,8414.80.13,12.60,0.105,0
,搓脚石,Foot rubbing stone,6804300000,25131010000,0,0.13,,,搓脚石,Foot rubbing stone,6804300000,251310100090,0,0,0.01,0.13,,冷水机,cooling-water machine,8415.90.20,18.00,0.21,0.03
,浮石刷,Pumice stone brush,6804300000,25131010000,0,0.13,,,浮石刷,Pumice stone brush,6804300000,251310100090,0,0,0.01,0.13,,空调配件,Air conditioning accessories,8415.90.20,18.00,0.21,0.03
,手工磨脚石,Hand sharpening stone for feet,6804300000,25131010000,0,0.13,,,磨脚石,Millstone,6804300000,251310100090,0,0,0.01,0.13,,蒸发器,evaporator,8415.90.20,18.00,0.21,0.03
,石膏粉,plaster powder,2520200000,25202000000,0.05,0.13,,,手工磨脚石,Hand sharpening stone for feet,6804300000,251310100090,0,0,0.01,0.13,,空气调节油箱,Air conditioning tank,8415.90.20,18.00,0.21,0.03
,火漆蜡,fire paint wax,3404909000,27129000000,0,0.13,DNM009-MSA055,,石膏粉,plaster powder,2520200000,252020000000,0.05,0,0.01,0.13,,空气调节管路,Air conditioning line,8415.90.20,18.00,0.21,0.03
,鼻喷剂,Oral cleanser,3004909099,30043210000,0.05,0.13,,,火漆蜡,fire paint wax,3404909000,271290000090,0,0,0.01,0.13,,空气调节线圈,Air conditioning coil,8415.90.20,18.00,0.21,0.03
,宠物药品,pet medicine,3004900090,30049021000,0.05,0.13,,,鼻喷剂,Oral cleanser,3004909099,300432100090,0,0,0.01,0.13,,机油冷却器,Oil cooler,8415.90.20,18.00,0.21,0.03
,创可贴,household woundplast,3005100099,30051000000,0,0.13,,,宠物药品,pet medicine,3004900090,300490210090,0,0,0.01,0.13,,加热器混合门柄,Heater mixed door handle,8415.90.20,18.00,0.21,0.03
,痘痘贴,Acne Patch,3304999090,30051000000,0,0.13,,,护趾片,Toe guard,3926909990,300510000000,0,0,0.01,0.13,,气压表,The barometer,9025.80.00,18.00,0.21,0.03
,护趾片,Toe guard,3926909990,30051000000,0,0.13,,,脚底贴,Bottom stickers,3926901000,300510000000,0,0,0.01,0.13,,顶珠,Top bead,7615.10.00,16.00,0.21,0.03
,足贴,Foot membrane,3005100010,30051000000,0,0.13,,,药膏贴,Ointment patch,3005100099,300510000000,0,0,0.01,0.13,,淋浴垫,Plastic Mat,4016.91.00,16.00,0.21,0.03
,吸塑,BLISTER,3923901000,30051000000,0,0.13,,,脚贴,foot pads,3926901000,300510000000,0,0,0.01,0.13,,塑料垫,Plastic floor mat,4016.91.00,16.00,0.21,0.03
,脚底贴,Bottom stickers,3926901000,30051000000,0,0.13,,,足贴,Foot membrane,3005100010,300510000000,0,0,0.01,0.13,,防滑垫,Non-slip mat,4016.91.00,16.00,0.21,0.03
,药膏贴,Ointment patch,3005100099,30051000000,0,0.13,,,吸塑,BLISTER,3923901000,300510000000,0,0,0.01,0.13,,防滑链,Anti-skid chains,7315.20.00,12.60,0.21,0.03
,脚贴,foot pads,3926901000,30051000000,0,0.13,,,创可贴,household woundplast,3005100099,300510000000,0,0,0.01,0.13,,轮胎防滑链,Tire chain,7315.20.00,12.60,0.21,0.03
,运动绷带,Sports a bandage,5806310000,30059000000,0.05,0.13,,,痘痘贴,Acne Patch,3304999090,300510000000,0,0,0.01,0.13,,防冻剂,Antifreezing agent,3820.00.00,12.60,0.21,0.03
,运动胶布,Exercise tape,5906100000,30059000000,0.05,0.13,,,运动绷带,Sports a bandage,5806310000,300590000010,0,0,0.01,0.13,,止汗剂,Body Mist,3307.10.00,35.00,0.21,0.03
,贴布,Pasting cloth,5906992000,30059000000,0.05,0.13,,,运动胶布,Exercise tape,5906100000,300590000010,0,0,0.01,0.13,,止汗剂,Body Mist,3307.10.00,35.00,0.21,0.03
,纱布,nylon gauze,3005900040,30059000000,0.05,0.13,,,贴布,Pasting cloth,5906992000,300590000090,0,0,0.01,0.13,,涤纶护臂,polyester Armguard,3926.20.00,18.00,0.21,0.03
,纱带,Gauze tape,4202129000,30059000000,0.05,0.13,,,纱布,nylon gauze,3005900040,300590000090,0,0,0.01,0.13,,臂带,armband,6117.80.90,35.00,0.21,0.03
,碘伏棉签棒,Iodophor cotton swabs,3005900090,30059000000,0.05,0.13,,,纱带,Gauze tape,4202129000,300590000090,0,0,0.01,0.13,,保护套,protective cover,3926.90.90,35.00,0.21,0.03
,检测试纸,test paper,3822900000,30063020000,0,0.13,,,碘伏棉签棒,Iodophor cotton swabs,3005900090,300590000090,0,0,0.01,0.13,,保护罩,Protective cover,3926.90.90,35.00,0.21,0.03
,绷带,gauze bandage,3005900040,30065000000,0.05,0.13,,,检测试纸,test paper,3822900000,300630200099,0,0,0.01,0.13,,罩套,Textile cover,6307.90.90,35.00,0.21,0.03
,急救包,Nylon emergency kit,3006500000,30065000000,0.05,0.13,,,急救包,Nylon emergency kit,3006500000,300650000000,0,0,0.01,0.13,,钳子,pliers,8203.20.10,18.00,0.21,0.03
,鞋头套,Shoes caps,9506702000,30067000000,0,0.13,,,绷带,gauze bandage,3005900040,300650000000,0,0,0.01,0.13,,多功能钳子,multifunctional pliers,8203.20.10,18.00,0.21,0.03
,乳胶漆,emulsion paint,3206190000,32099010000,0.15,0.13,,,鞋头套,Shoes caps,9506702000,300670000000,0,0,0.01,0.13,,钳子套装,Pliers set,8203.20.10,18.00,0.21,0.03
,画筒,Painting cylinder,3926100090,32099010000,0.15,0.13,,,脸彩,Face color,3926409000,320990100000,0.14,0.05,0.01,0.13,,雕刻工具,Engraving tool,8205.51.00,18.00,0.21,0.03
,脸彩,Face color,3926409000,32099010000,0.15,0.13,,,乳胶漆,emulsion paint,3206190000,320990100000,0.14,0.05,0.01,0.13,,定位夹,Locating clamp,8205.70.00,18.00,0.21,0.03
,颜料,pigment,3213901000,32129090000,0.05,0.13,,,画筒,Painting cylinder,3926100090,320990100000,0.14,0.05,0.01,0.13,,手动铆钉器,Manual rivet,8205.70.00,18.00,0.21,0.03
,绘画套装,Painting set,4903000020,32131000000,0.05,0.13,,,颜料,pigment,3213901000,321290900000,0.05,0.05,0.01,0.13,,切割器,slicer,8214.90.90,18.00,0.21,0.03
,绘画颜料,painting pigment,3213100000,32131000000,0.05,0.13,,,绘画套装,Painting set,4903000020,321310000010,0.05,0,0.01,0.13,,抛光机,Polishing machine,8464.20.21,00.00,0.105,0
,填缝剂,joint sealant,3214109090,32141011000,0.05,0.13,,,绘画颜料,painting pigment,3213100000,321310000090,0.05,0,0.01,0.13,,电钻机,Electric drill,8467.21.00,20.00,0.21,0.03
,墨垫,Ink pad,3926901000,32151140000,0.1,0.13,,,填缝剂,joint sealant,3214109090,321410110000,0.05,0.05,0.01,0.13,,射钉枪,nail gun,8467.22.00,20.00,0.21,0.03
,指甲花,henna,3926409000,32151190000,0.1,0.13,,,墨垫,Ink pad,3926901000,321511400000,0.09,0,0.01,0.13,,电动工具,Power tool,8467.22.00,20.00,0.21,0.03
,精油,essence lotion,3304999090,33019000000,0,0.13,,,指甲花,henna,3926409000,321511900000,0.09,0,0.01,0.13,,电锯,chainsaw,8467.89.00,12.60,0.105,0
,香薰挥发液,Aromatherapy volatile liquid,3307490000,33019000000,0,0.13,,,香薰挥发液,Aromatherapy volatile liquid,3307490000,330190000000,0,0,0.01,0.13,,焊枪,Welding torch,8468.90.10,16.00,0.21,0.03
,香薰,aromatherapy,3307490000,33019000000,0,0.13,,,精油,essence lotion,3304999090,330190000000,0,0,0.01,0.13,,热风焊接器,Hot air welder,8515.21.00,12.60,0.105,0
,油头,Oil tips,8409910090,33019000000,0,0.13,,,香薰,aromatherapy,3307490000,330190000000,0,0,0.01,0.13,,电焊机,Electric welding machine,8515.39.00,12.60,0.105,0
,精油,essence lotion,3304999090,33019000000,0,0.13,,,油头,Oil tips,8409910090,330190000000,0,0,0.01,0.13,,夹具,fixture,9405.50.00,18.00,0.21,0.03
,驱鸟球,Bird repeller ball,3926901000,33029090000,0.05,0.13,,,精油,essence lotion,3304999090,330190000000,0,0,0.01,0.13,,油漆刷,Paint brush,9603.40.10,18.00,0.21,0.03
,香水,Perfume,3307490000,33030000000,0.15,0.13,,,驱鸟球,Bird repeller ball,3926901000,330290900090,0.05,0,0.01,0.13,,滚筒刷,Roller brush,9603.50.00,18.00,0.21,0.03
,古龙水,cologne,3303000010,33030000000,0.15,0.13,,,香水,Perfume,3307490000,330300000000,0.14,0,0.01,0.13,,汽车仪表盘罩,Plastic shell,8708.29.19,12.60,0.21,0
,花露水,Florida Water,3303000010,33030000000,0.15,0.13,,,古龙水,cologne,3303000010,330300000000,0.14,0,0.01,0.13,,轮胎,tyre,4011.10.00,35.00,0.21,0.03
,化妆水,Lotion,3304999090,33030000000,0.15,0.13,,,花露水,Florida Water,3303000010,330300000000,0.14,0,0.01,0.13,,汽车前挡风,Front windshield,7007.21.00,10.80,0.21,0.03
,乳液,lotion,3304999020,33030000000,0.15,0.13,,,化妆水,Lotion,3304999090,330300000000,0.14,0,0.01,0.13,,后视镜,rearview mirror,7009.10.00,12.60,0.21,0.03
,香膏,balsam,3301309000,33030000000,0.15,0.13,,,乳液,lotion,3304999020,330300000000,0.14,0,0.01,0.13,,安全锤,safety hammer,8205.59.00,18.00,0.21,0.03
,口红,LIP STICK,3304100000,33041000000,0.15,0.13,,,香膏,balsam,3301309000,330300000000,0.14,0,0.01,0.13,,汽车门锁,Door lock,8301.20.00,16.00,0.21,0.03
,丰唇器,Lip enlarger,3926909990,33041000000,0.15,0.13,,,口红,LIP STICK,3304100000,330410000000,0.14,0,0.01,0.13,,方向盘锁定装置,Lock device,8301.20.00,16.00,0.21,0.03
,润唇膏,adult Lip balm,3304999090,33041000000,0.15,0.13,,,丰唇器,Lip enlarger,3926909990,330410000000,0.14,0,0.01,0.13,,汽车夹,Car clamp,8301.20.00,16.00,0.21,0.03
,唇线笔,Labial line pen,3304100000,33041000000,0.15,0.13,,,润唇膏,adult Lip balm,3304999090,330410000000,0.14,0,0.01,0.13,,车门外把手,Door handle,8302.10.00,35.00,0.21,0.03
,唇膏,lipstick,3304100000,33041000000,0.15,0.13,,,唇线笔,Labial line pen,3304100000,330410000000,0.14,0,0.01,0.13,,装饰环,Decorative ring,8302.30.00,16.00,0.21,0.03
,唇釉,lip gloss,3304100000,33041000000,0.15,0.13,,,唇膏,lipstick,3304100000,330410000000,0.14,0,0.01,0.13,,后备箱支撑杆,Trunk support rod,8302.30.00,16.00,0.21,0.03
,香膏,balsam,3301309000,33041000000,0.15,0.13,,,唇釉,lip gloss,3304100000,330410000000,0.14,0,0.01,0.13,,汽车牌照套,Car license plate set,8310.00.00,16.00,0.21,0.03
,眼影盒,Eyeshadow case,3923309090,33042000000,0.15,0.13,,,香膏,balsam,3301309000,330410000000,0.14,0,0.01,0.13,,汽车车牌框架,Vehicle license plate frame,8310.00.00,16.00,0.21,0.03
,眼影棒,Eyeshadows stick,3926901000,33042000000,0.15,0.13,,,眼影盒,Eyeshadow case,3923309090,330420000000,0.14,0,0.01,0.13,,气门盖,Valve cover,8409.91.40,16.00,0.105,0
,化妆套装,Makeup set,8214200000,33042000000,0.15,0.13,,,眼影棒,Eyeshadows stick,3926901000,330420000000,0.14,0,0.01,0.13,,机油加注口盖,Oil filler cover,8409.91.40,16.00,0.105,0
,画眉笔套,Thrush the cap,9603309000,33042000000,0.15,0.13,,,化妆套装,Makeup set,8214200000,330420000000,0.14,0,0.01,0.13,,火花塞零件,Spark plug parts,8409.91.90,16.00,0.21,0.03
,眼影膏,eye shadow,3304200000,33042000000,0.15,0.13,,,画眉笔套,Thrush the cap,9603309000,330420000000,0.14,0,0.01,0.13,,转向动力气缸,Steering power cylinder,8412.29.00,12.60,0.21,0
,染眉膏,Eyebrow cream,3304200000,33042000000,0.15,0.13,,,眼影膏,eye shadow,3304200000,330420000000,0.14,0,0.01,0.13,,燃油泵,fuel pump,8413.30.90,18.00,0.21,0.03
,修容棒,Contour stick,3304999090,33042000000,0.15,0.13,,,染眉膏,Eyebrow cream,3304200000,330420000000,0.14,0,0.01,0.13,,动力转向泵,power steering pump,8413.30.90,18.00,0.21,0.03
,蒸汽眼罩,Steam Eye Mask,3824990090,33042000000,0.15,0.13,,,修容棒,Contour stick,3304999090,330420000000,0.14,0,0.01,0.13,,动力转向泵盖,Power steering pump cover,8413.91.90,12.60,0.21,0
,活动眼,moveable eyes,3926901000,33042000000,0.15,0.13,,,蒸汽眼罩,Steam Eye Mask,3824990090,330420000000,0.14,0,0.01,0.13,,排放烟雾泵,exhaust smoke pump,8414.59.10,00.00,0.21,0
,卸甲水,Resurrection water,3304300000,33043000000,0.15,0.13,,,活动眼,moveable eyes,3926901000,330420000000,0.14,0,0.01,0.13,,变速器阀体套件,Transmission valve body kit,8481.10.00,12.60,0.21,0
,指甲油,tinting pigment,3304300000,33043000000,0.15,0.13,,,卸甲水,Resurrection water,3304300000,330430000000,0.14,0,0.01,0.13,,转向控制阀,Steering control valve,8481.10.00,12.60,0.21,0
,手膜,Hand mask,3304999090,33043000000,0.15,0.13,,,指甲油,tinting pigment,3304300000,330430000000,0.14,0,0.01,0.13,,轮胎阀杆,Tire valve stem,8481.80.39,12.60,0.21,0
,起钉器,Staple,8205599000,33043000000,0.15,0.13,,,手膜,Hand mask,3304999090,330430000000,0.14,0,0.01,0.13,,汽车球笼套,Car ball cage sleeve,8483.30.29,16.00,0.21,0.03
,足膜,Foot care membrane,3304999090,33043000000,0.15,0.13,,,起钉器,Staple,8205599000,330430000000,0.14,0,0.01,0.13,,发电机定子绕组,Generator stator winding,8503.00.90,12.60,0.21,0
,美甲粉,Nail powder,3304300000,33043000000,0.15,0.13,,,足膜,Foot care membrane,3304999090,330430000000,0.14,0,0.01,0.13,,汽车火花塞,Spark plugs,8511.10.00,18.00,0.21,0.03
,漆线,Lacquered wire,8544110010,33043000000,0.15,0.13,,,美甲粉,Nail powder,3304300000,330430000000,0.14,0,0.01,0.13,,点火系统零件,Ignition system parts,8511.20.90,18.00,0.21,0.03
,指甲油去除剂,nail polish remover,3304300000,33043000000,0.15,0.13,,,漆线,Lacquered wire,8544110010,330430000000,0.14,0,0.01,0.13,,汽车点火线圈接地带,Automobile ignition coil strip,8511.20.90,18.00,0.21,0.03
,粉饼,concealer,3304910000,33049100000,0.15,0.13,,,指甲油去除剂,nail polish remover,3304300000,330430000000,0.14,0,0.01,0.13,,汽车点火线圈组,Ignition coils,8511.20.90,18.00,0.21,0.03
,定妆粉,Setting powder,3304910000,33049100000,0.15,0.13,,,高光,highlighting powder,3304910000,330491000000,0.14,0,0.01,0.13,,汽车发电机,Automobile generator,8511.40.00,18.00,0.21,0.03
,痱子粉,prickly heat powder,3304910000,33049100000,0.15,0.13,,,蜜粉,prickly heat powder,3304910000,330491000000,0.14,0,0.01,0.13,,汽车起动器,Automobile starter,8511.40.00,18.00,0.21,0.03
,高光,highlighting powder,3304910000,33049100000,0.15,0.13,,,粉饼,concealer,3304910000,330491000000,0.14,0,0.01,0.13,,汽车仪表盘,motor board,8511.80.30,16.00,0.105,0
,蜜粉,prickly heat powder,3304910000,33049100000,0.15,0.13,,,定妆粉,Setting powder,3304910000,330491000000,0.14,0,0.01,0.13,,汽车点火器,Automobile igniter,8511.80.30,16.00,0.105,0
,散粉,prickly heat powder,3304910000,33049100000,0.15,0.13,,,痱子粉,prickly heat powder,3304910000,330491000000,0.14,0,0.01,0.13,,发电机电压调节器,Generator voltage regulator,8511.80.30,16.00,0.105,0
,修容粉,contour powder,3304910000,33049100000,0.15,0.13,,,散粉,prickly heat powder,3304910000,330491000000,0.14,0,0.01,0.13,,分配器盖,Distributor cover,8511.90.00,16.00,0.21,0.03
,胭脂,rouge,3304910000,33049100000,0.15,0.13,,,修容粉,contour powder,3304910000,330491000000,0.14,0,0.01,0.13,,汽车大灯壳,Car headlamp housing,8512.20.19,18.00,0.21,0.03
,化妆棒,makeup stick,9616200000,33049100000,0.15,0.13,,,胭脂,rouge,3304910000,330491000000,0.14,0,0.01,0.13,,汽车后灯外壳,Car rear light housing,8512.20.29,18.00,0.21,0.03
,引诱剂,attractant,3307900090,33049900000,0.15,0.13,,,化妆棒,makeup stick,9616200000,330491000000,0.14,0,0.01,0.13,,前照灯雨刮器,Headlight wiper,8512.20.29,18.00,0.21,0.03
,防虫剂,organic surfactant,3307900090,33049900000,0.15,0.13,,,引诱剂,attractant,3307900090,330499000010,0.14,0,0.01,0.13,,倒车雷达,Astern radar,8512.30.00,18.00,0.21,0.03
,驱赶喷雾,Drive away spray,3307900090,33049900000,0.15,0.13,,,防虫剂,organic surfactant,3307900090,330499000010,0.14,0,0.01,0.13,,汽车雨刷器,Automobile wiper,8512.90.00,16.00,0.21,0.03
,唇彩,LIP STICK,3304100000,33049900000,0.15,0.13,,,驱赶喷雾,Drive away spray,3307900090,330499000010,0.14,0,0.01,0.13,,汽车均衡器,Automobile equalizer,8519.81.20,00.00,0.105,0
,睫毛膏,mascara,3304200000,33049900000,0.15,0.13,,,眼影液,Eye Shadow,3304200000,330499000090,0.14,0,0.01,0.13,,行车记录仪,Traffic data recorder,8521.90.00,20.00,0.21,0.03
,眉笔,Eyebrow crayon,3304200000,33049900000,0.15,0.13,,,眼线笔,Eyeliner,3304200000,330499000090,0.14,0,0.01,0.13,,汽车天线,Car antenna,8529.10.20,16.00,0.21,0.03
,眼线,Black Eyeliner Liquid,3304200000,33049900000,0.15,0.13,,,面膜纸,face pack,6307909990,330499000090,0.14,0,0.01,0.13,,汽车点火系统,Automotive ignition system,8536.10.00,16.00,0.21,0.03
,眼影,Eye Shadow,3304200000,33049900000,0.15,0.13,,,护臀霜,body lotion,3304999090,330499000090,0.14,0,0.01,0.13,,灯泡固定器,Bulb holder,8536.61.00,16.00,0.21,0.03
,眼影液,Eye Shadow,3304200000,33049900000,0.15,0.13,,,面霜,body lotion,3304999090,330499000090,0.14,0,0.01,0.13,,火花塞连接器,Connecting devices,8536.90.60,00.00,0.21,0.03
,眼线笔,Eyeliner,3304200000,33049900000,0.15,0.13,,,修护凝胶,body lotion,3304999090,330499000090,0.14,0,0.01,0.13,,汽车头灯罩,Car head lamp shade,8539.10.90,18.00,0.21,0.03
,甲油胶,nail glue,3304300000,33049900000,0.15,0.13,,,甲油胶,nail glue,3304300000,330499000090,0.14,0,0.01,0.13,,汽车尾灯罩,Car tail lamp shade,8539.10.90,18.00,0.21,0.03
,腮红,BLUSH,3304910000,33049900000,0.15,0.13,,,唇彩,LIP STICK,3304100000,330499000090,0.14,0,0.01,0.13,,车底加强杆,Underbody reinforcement bar,8708.10.00,18.00,0.21,0.03
,护颈霜,body lotion,3304999090,33049900000,0.15,0.13,,,睫毛膏,mascara,3304200000,330499000090,0.14,0,0.01,0.13,,保险杠,bumper,8708.10.00,18.00,0.21,0.03
,面膜纸,face pack,6307909990,33049900000,0.15,0.13,,,眉笔,Eyebrow crayon,3304200000,330499000090,0.14,0,0.01,0.13,,保险杠罩,Bumper cover,8708.10.00,18.00,0.21,0.03
,护臀霜,body lotion,3304999090,33049900000,0.15,0.13,,,眼线,Black Eyeliner Liquid,3304200000,330499000090,0.14,0,0.01,0.13,,发动机罩,Engine hood,8708.22.00,18.00,0.21,0.03
,面霜,body lotion,3304999090,33049900000,0.15,0.13,,,眼影,Eye Shadow,3304200000,330499000090,0.14,0,0.01,0.13,,尾翼板,The tail plate,8708.29.19,12.60,0.21,0
,修护凝胶,body lotion,3304999090,33049900000,0.15,0.13,,,腮红,BLUSH,3304910000,330499000090,0.14,0,0.01,0.13,,汽车车身零件,Auto body parts,8708.29.19,12.60,0.21,0
,保湿乳,body lotion,3304999090,33049900000,0.15,0.13,,,护颈霜,body lotion,3304999090,330499000090,0.14,0,0.01,0.13,,油箱门,Tuel tank flap,8708.29.19,12.60,0.21,0
,防晒霜,adult Sunscreen,3304999090,33049900000,0.15,0.13,,,保湿乳,body lotion,3304999090,330499000090,0.14,0,0.01,0.13,,汽车扶手,handrails,8708.29.19,12.60,0.21,0
,护手霜,Hand cream,3304999090,33049900000,0.15,0.13,,,防晒霜,adult Sunscreen,3304999090,330499000090,0.14,0,0.01,0.13,,汽车扶手套,handrail cover,8708.29.19,12.60,0.21,0
,精华液,essence lotion,3304999090,33049900000,0.15,0.13,,,护手霜,Hand cream,3304999090,330499000090,0.14,0,0.01,0.13,,悬挂后牵引杆,Hang the rear tow bar,8708.29.19,12.60,0.21,0
,身体乳,body lotion,3304999090,33049900000,0.15,0.13,,,精华液,essence lotion,3304999090,330499000090,0.14,0,0.01,0.13,,汽车摇杆,Car rocker,8708.29.19,12.60,0.21,0
,爽肤水,body lotion,3304999090,33049900000,0.15,0.13,,,身体乳,body lotion,3304999090,330499000090,0.14,0,0.01,0.13,,空气动力后部件,Aerodynamic rear unit,8708.29.19,12.60,0.21,0
,唇膜,lip mask,3304999090,33049900000,0.15,0.13,,,爽肤水,body lotion,3304999090,330499000090,0.14,0,0.01,0.13,,车顶扰流板,Roof spoiler,8708.29.19,12.60,0.21,0
,面膜,facial mask,3304999090,33049900000,0.15,0.13,,,唇膜,lip mask,3304999090,330499000090,0.14,0,0.01,0.13,,汽车轮眉,Car wheel eyebrow,8708.29.19,12.60,0.21,0
,眼膜,Eye mask,3304999090,33049900000,0.15,0.13,,,面膜,facial mask,3304999090,330499000090,0.14,0,0.01,0.13,,汽车格栅,Automobile grille,8708.29.19,12.60,0.21,0
,粉底,concealer,3304910000,33049900000,0.15,0.13,,,眼膜,Eye mask,3304999090,330499000090,0.14,0,0.01,0.13,,保护杆盖,Guard rod cover,8708.29.19,12.60,0.21,0
,遮瑕膏,concealer,3304999090,33049900000,0.15,0.13,,,粉底,concealer,3304910000,330499000090,0.14,0,0.01,0.13,,脚踏杠,Foot bar,8708.29.19,12.60,0.21,0
,磨砂膏,Facial Cleanser,3401300000,33049900000,0.15,0.13,,,遮瑕膏,concealer,3304999090,330499000090,0.14,0,0.01,0.13,,车身套件,body kit,8708.29.19,12.60,0.21,0
,洗面奶,Facial Cleanser,3401300000,33049900000,0.15,0.13,,,磨砂膏,Facial Cleanser,3401300000,330499000090,0.14,0,0.01,0.13,,汽车尾翼,Automobile tail,8708.29.19,12.60,0.21,0
,卸妆膏,Makeup remover cream,3401300000,33049900000,0.15,0.13,,,洗面奶,Facial Cleanser,3401300000,330499000090,0.14,0,0.01,0.13,,汽车车窗模具,Car window mold,8708.29.19,12.60,0.21,0
,化妆品套装,Makeup set,3304999090,33049900000,0.15,0.13,,,卸妆膏,Makeup remover cream,3401300000,330499000090,0.14,0,0.01,0.13,,汽车车顶板,Car roof,8708.29.19,12.60,0.21,0
,粉底液,liquid foundation,3304999090,33049900000,0.15,0.13,,,化妆品套装,Makeup set,3304999090,330499000090,0.14,0,0.01,0.13,,汽车软制顶棚,Soft ceiling of automobile,8708.29.19,12.60,0.21,0
,眼霜,eye gel,3304200000,33049900000,0.15,0.13,,,粉底液,liquid foundation,3304999090,330499000090,0.14,0,0.01,0.13,,吉普车车顶,The roof of the jeep,8708.29.19,12.60,0.21,0
,鼻贴,Nasal patch,3304999090,33049900000,0.15,0.13,,,眼霜,eye gel,3304200000,330499000090,0.14,0,0.01,0.13,,翼子板护板,Fender guard plate,8708.29.19,12.60,0.21,0
,丰胸器,Breast enhancer,3926901000,33049900000,0.15,0.13,,,鼻贴,Nasal patch,3304999090,330499000090,0.14,0,0.01,0.13,,汽车地板,Car floor,8708.29.19,12.60,0.21,0
,美容套装,Beauty kit,8203200090,33049900000,0.15,0.13,,,丰胸器,Breast enhancer,3926901000,330499000090,0.14,0,0.01,0.13,,汽车天窗机械,Automobile sunroof machinery,8708.29.19,12.60,0.21,0
,防护面贴,Protective face strips,9020000000,33049900000,0.15,0.13,,,美容套装,Beauty kit,8203200090,330499000090,0.14,0,0.01,0.13,,空气导流板,Air deflector,8708.29.19,12.60,0.21,0
