Unnamed: 0,华南快速小包挂号(DG),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,加蓬,7-30工作日,GA,0＜W≤2,,0.006,143.17,17.51,
,直布罗陀,7-30工作日,GI,0＜W≤2,,0.006,218.36,30.9,
,格陵兰,7-30工作日,GL,0＜W≤2,,0.006,389.34,17.51,
,赤道几内亚,7-30工作日,GQ,0＜W≤2,,0.006,223.51,17.51,不可达
,马恩岛,7-30工作日,IM,0＜W≤2,,0.006,218.36,30.9,
,基里巴斯,7-30工作日,KI,0＜W≤2,,0.006,250.29,35.02,不可达
,圣基茨和尼维斯,7-30工作日,KN,0＜W≤2,,0.006,175.1,17.51,不可达
,纳米比亚,7-30工作日,,0＜W≤2,,0.006,141.11,17.51,
,瑙鲁,7-30工作日,NR,0＜W≤2,,0.006,250.29,35.02,不可达
,新西兰,7-30工作日,NZ,0＜W≤2,,0.006,78.28,33.99,
,法属波利尼西亚,7-30工作日,PF,0＜W≤2,,0.006,253.38,17.51,
,波多黎各,7-30工作日,PR,0＜W≤2,,0.006,214.24,17.51,
,卢旺达,7-30工作日,RW,0＜W≤2,,0.006,141.11,17.51,
,塞舌尔,7-30工作日,SC,0＜W≤2,,0.006,123.6,17.51,
,苏丹,7-30工作日,SD,0＜W≤2,,0.006,222.48,33.99,不可达
,塞拉利昂,7-30工作日,SL,0＜W≤2,,0.006,200.85,17.51,不可达
,苏里南,7-30工作日,SR,0＜W≤2,,0.006,201.88,17.51,
,圣多美和普林西比,7-30工作日,ST,0＜W≤2,,0.006,209.09,17.51,不可达
,乍得,7-30工作日,TD,0＜W≤2,,0.006,173.04,17.51,
,多哥,7-30工作日,TG,0＜W≤2,,0.006,168.92,17.51,
,东帝汶,7-30工作日,TL,0＜W≤2,,0.006,250.29,35.02,不可达
,萨摩亚,7-30工作日,WS,0＜W≤2,,0.006,250.29,35.02,不可达
,德国,7-30工作日,DE,0＜W≤2,,0.006,81.37,32.96,
,挪威,7-30工作日,NO,0＜W≤2,,0.006,91.67,35.02,
,澳大利亚,7-30工作日,AU,0＜W≤2,,0.006,80.34,35.02,
,捷克,7-30工作日,CZ,0＜W≤2,,0.006,77.25,27.81,
,斯洛伐克,7-30工作日,SK,0＜W≤2,,0.006,86.52,27.81,
,马来西亚,7-30工作日,MY,0＜W≤2,,0.006,105.06,17.51,
,新加坡,7-30工作日,SG,0＜W≤2,,0.006,39.14,25.75,
,泰国,7-30工作日,TH,0＜W≤2,,0.006,98.88,17.51,
,阿富汗,7-30工作日,AF,0＜W≤2,,0.006,222.48,33.99,不可达
,亚美尼亚,7-30工作日,AM,0＜W≤2,,0.006,158.62,17.51,
,巴巴多斯,7-30工作日,BB,0＜W≤2,,0.006,169.95,17.51,不可达
,白俄罗斯,7-30工作日,BY,0＜W≤2,,0.006,100.94,25.75,不可达
,伯利兹,7-30工作日,BZ,0＜W≤2,,0.006,184.37,17.51,不可达
,百慕大,7-30工作日,BM,0＜W≤2,,0.006,175.1,17.51,不可达
,玻利维亚,7-30工作日,BO,0＜W≤2,,0.006,184.37,33.99,不可达
,佛得角,7-30工作日,CV,0＜W≤2,,0.006,116.39,30.9,不可达
,荷兰加勒比区,7-30工作日,BQ,0＜W≤2,,0.006,189.52,17.51,不可达
,开曼群岛,7-30工作日,KY,0＜W≤2,,0.006,174.07,17.51,不可达
,中非,7-30工作日,CF,0＜W≤2,,0.006,229.69,17.51,不可达
,克罗地亚,7-30工作日,HR,0＜W≤2,,0.006,206,17.51,
,朝鲜,7-30工作日,KP,0＜W≤2,,0.006,122.57,33.99,不可达
,多米尼加共和国,7-30工作日,DO,0＜W≤2,,0.006,175.1,17.51,
,爱沙尼亚,7-30工作日,EE,0＜W≤2,,0.006,206,17.51,
,福克兰群岛,7-30工作日,FK,0＜W≤2,,0.006,218.36,30.9,不可达
,格鲁吉亚,7-30工作日,GE,0＜W≤2,,0.006,159.65,17.51,
,洪都拉斯,7-30工作日,HN,0＜W≤2,,0.006,122.57,33.99,不可达
,牙买加,7-30工作日,JM,0＜W≤2,,0.006,122.57,33.99,不可达
,约旦,7-30工作日,JO,0＜W≤2,,0.006,124.63,17.51,
,黎巴嫩,7-30工作日,LB,0＜W≤2,,0.006,135.96,17.51,不可达
,莱索托,7-30工作日,LS,0＜W≤2,,0.006,222.48,33.99,不可达
,利比里亚,7-30工作日,LR,0＜W≤2,,0.006,122.57,33.99,不可达
,列支敦士登,7-30工作日,LI,0＜W≤2,,0.006,222.48,33.99,不可达
,摩纳哥,7-30工作日,MC,0＜W≤2,,0.006,122.57,33.99,不可达
,摩洛哥,7-30工作日,MA,0＜W≤2,,0.006,141.11,17.51,
,新喀里多尼亚,7-30工作日,NC,0＜W≤2,,0.006,220.42,17.51,不可达
,尼加拉瓜,7-30工作日,NI,0＜W≤2,,0.006,122.57,33.99,不可达
,巴勒斯坦,7-30工作日,PS,0＜W≤2,,0.006,157.59,17.51,不可达
,巴拉圭,7-30工作日,PY,0＜W≤2,,0.006,184.37,33.99,不可达
,圣马力诺,7-30工作日,SM,0＜W≤2,,0.006,71.07,30.9,不可达
,圣马丁,7-30工作日,SX,0＜W≤2,,0.006,185.4,17.51,不可达
,斯洛文尼亚,7-30工作日,SI,0＜W≤2,,0.006,214.24,17.51,
,利比亚,7-30工作日,LY,0＜W≤2,,0.006,122.57,33.99,不可达
,托克劳,7-30工作日,TK,0＜W≤2,,0.006,222.48,33.99,不可达
,特立尼达和多巴哥,7-30工作日,TT,0＜W≤2,,0.006,147.29,33.99,
,瓦努阿图,7-30工作日,VU,0＜W≤2,,0.006,250.29,35.02,不可达
,委内瑞拉,7-30工作日,VE,0＜W≤2,,0.006,122.57,33.99,不可达
,瓦利斯和富图纳,7-30工作日,WF,0＜W≤2,,0.006,184.37,33.99,不可达
,安道尔,7-30工作日,AD,0＜W≤2,,0.006,147.29,33.99,不可达
,北马里亚纳群岛,7-30工作日,MP,0＜W≤2,,0.006,173.04,17.51,不可达
,马绍尔群岛,7-30工作日,MH,0＜W≤2,,0.006,173.04,17.51,不可达
,马提尼克,7-30工作日,MQ,0＜W≤2,,0.006,169.95,33.99,不可达
,圣皮埃尔和密克隆,7-30工作日,PM,0＜W≤2,,0.006,147.29,33.99,不可达
,美属维尔京群岛,7-30工作日,VI,0＜W≤2,,0.006,173.04,17.51,不可达
,格恩西岛,7-30工作日,GG,0＜W≤2,,0.006,218.36,30.9,不可达
,,,,,,,,,
,,,,,,,,,
,欧盟27国路向的包裹，如果申报价值<=150美金，客户可以选择备案申报IOSS号，我司会如实申报，如未提供IOSS号或者IOSS被判定不合格，,,,,,,,,
,目的地海关会通知收件人缴税，如收件人未能及时支付，逾期包裹会免费退回国内，其他情况默认收件人缴税，我司不做代缴服务,,,,,,,,
,欧盟税改之后，欧盟各个国家也在不断完善其对邮件申报信息的要求，建议客户下单时如实填写HS CODE（至少6位）、申报品名、申报价值和邮箱,,,,,,,,
,"（奥地利国家建议务必申报HS CODE,荷兰国家务必申报邮箱），如申报信息填写不准确或不填写或填写无效的HS CODE可能会导致货到目的国后，",,,,,,,,
,海关及邮政向收件人收取额外的处理费,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,备注说明：,,,,,,,,
,一、不可达国家,,,,,,,,
,阿尔巴尼亚，巴哈马，不丹，布隆迪，萨尔瓦多，格林纳达，危地马拉，海地，冰岛，伊拉克，摩尔多瓦，圣文森特和格林纳丁斯，美属萨摩亚，塞尔维亚，汤加，特克斯和凯科斯群岛，图瓦卢，津巴布韦，安提瓜和巴布达，安圭拉，波黑,,,,,,,,
,厄立特里亚，冈比亚，几内亚比绍，科摩罗，黑山，马其顿，毛里求斯，马拉维，索马里，阿鲁巴，布基纳法索，吉布提，多米尼克，赤道几内亚，基里巴斯，圣基茨和尼维斯，瑙鲁，苏丹，塞拉利昂，圣多美和普林西比，东帝汶，萨摩亚,,,,,,,,
,阿富汗，巴巴多斯，白俄罗斯，伯利兹，百慕大，玻利维亚，佛得角，荷兰加勒比区，开曼群岛，中非，朝鲜，福克兰群岛，洪都拉斯，牙买加，黎巴嫩，莱索托，利比里亚，列支敦士登，摩纳哥，新喀里多尼亚，尼加拉瓜，巴勒斯坦，巴拉圭,,,,,,,,
,圣马力诺，圣马丁，利比亚，托克劳，瓦努阿图，委内瑞拉，瓦利斯和富图纳，安道尔，北马里亚纳群岛，马绍尔群岛，马提尼克，圣皮埃尔和密克隆，美属维尔京群岛，格恩西岛、留尼汪、加拿大,,,,,,,,
,由于服务商可达国家系统变更较频繁，最终以系统下单为准,,,,,,,,
,二、重量&尺寸要求,,,,,,,,
,不接受1票多件包裹，单票不超过2公斤，体积限制：最大尺寸限制：方形：单边长度≤60cm；长+宽+高≤90cm；轴状：直径*2+长≤104cm；单边长度≤90cm ；,,,,,,,,
,"最小尺寸限制：方形：单边长度≥14 cm； 单边宽度≥9cm,；  轴状：直径*2+长≥17 cm； 单边长度≥10 cm。",,,,,,,,
,三、注意事项,,,,,,,,
,1.客户通过云途物流网站下单功能上传数据，客户可使用网站功能自行打印地址标签粘贴于包裹上；,,,,,,,,
,2.我司提供批量上传功能，批量上传模板请到我司客户端下载,,,,,,,,
,3.2021年7月1日起欧盟税改要求，欧盟27国取消22欧以下免税政策，0起征，强烈建议客户在系统下单时填写IOSS号。无IOSS号会采用DDU，由收件人支付VAT和手续费并配合清关。,,,,,,,,
,如果收件人不及时配合清关和缴纳税费，可能会造成清关延误货或者包裹状态停滞，甚至产生海外退件。,,,,,,,,
,4.IOSS件邮局会做海关编码强制校验，要求必须提供海关编码。对没有填写HS Code海关编码的物品，无论是否填写了IOSS识别账号，都将额外向收件人收取额外的处理费。,,,,,,,,
,5.所有欧盟国家的包裹，建议提供HSCODE，如果没有提供会影响包裹清关时效，因此造成相关损失由客户承担。,,,,,,,,
,6.提醒： 邮政服务不保证时效，时效要求比较高的包裹请慎重选择。,,,,,,,,
,7.2024年1月1日起挪威VOEC（VATonE-Commerce）办法将全面生效，将正式应用于进入挪威境内的B2C类电商包裹，强烈建议客户在系统下单时填写VOEC号（7位数字，且第一位为2），,,,,,,,,
,如未填写，包裹到达挪威后，则会出现被增加额外的清关手续费、重复征税及通关缓慢的情况。,,,,,,,,
,8.根据国际邮政联盟相关规定，以下国家/地区邮政可能向收件人收取报关费：,,,,,,,,
,加蓬、阿根廷、澳大利亚、奥地利、巴西、加拿大、塞浦路斯、芬兰、罗马尼亚、西班牙、阿塞拜疆、希腊、巴基斯坦、土耳其、刚果（布）；赞比亚（仅国际包裹、e包裹）。,,,,,,,,
,该报关费是部分境外邮政向收件人收取的服务费用，而非海关收取的费用和税费。建议寄往上述国家/地区的发件人预先告知收件人相关收费情况，避免邮件滞留或产生纠纷。,,,,,,,,
,四、走货属性,,,,,,,,
,仅可走普货,,,,,,,,
,说明：本渠道仅可发普货，请勿将带电渠道包裹与本渠道包裹混发，以免造成时效延误。,,,,,,,,
,五、禁用物品,,,,,,,,
,国家明令禁止出口包裹，如古董，货币以及违禁品；航空禁运的危险物品、液体、粉末、电池及含电池包裹、攻击性包裹等。,,,,,,,,
,如果发现客户邮寄航空、仿牌仿冒、海关明令禁止的物品，造成安检不合格被退回的包裹，不退运费。,,,,,,,,
,六、赔偿相关事项,,,,,,,,
,1.赔偿受理截止时间：包裹在仓60天内必须提出申请，超过60天不再受理,,,,,,,,
,2.理赔标准：,,,,,,,,
,①未出库：退运费；按系统申报价值赔偿，最高不超过100RMB/票,,,,,,,,
,②出库后：不提供查询，海外退件和赔偿服务,,,,,,,,
,3.免赔情形：,,,,,,,,
,①所有赔偿必须经过开查流程，未经开查流程，不提供赔偿。,,,,,,,,
,②因客户原因造成破损、错发、误发、漏发货物、货物质量问题、双面单、重单、包装不符等产生的损失，云途不予赔偿。,,,,,,,,
,③因发件人、收件人地址错误/收件人拒收/收件人不在家/收件人未及时自提包裹等问题导致派送不成功，云途不予赔偿；同时国外退件由于往来海关多次检查，同时经中转环节较多，流程长，无法控制返程流转环节，因此云途只负责将收到的退件退回，对未退回和退回快件破损，内件短少的情况不承担任何赔偿责任。,,,,,,,,
,④如货物破损发生在运输途中（即出仓到妥投阶段），云途物流不予赔偿。,,,,,,,,
,⑤云途物流不对货物实际到达时效做任何形式的保证或承诺，故不因延误而承担赔偿责任，如果交付的货物违反法律规定或侵犯第三方知识产权或因未如实申报、产品描述过于简单等原因被海关扣货导致时效延误，云途物流会协助发件人提供清关文件。,,,,,,,,
,⑥如包裹侵权或者为其他违禁品导致的销毁、没收或产生的罚金，由客户自行承担，云途不承担任何赔偿责任以及不退运费/不予以赔偿。,,,,,,,,
,⑦客户交寄的货物应当符合法律法规的规定，并满足客户与向云途出具的《知识产权合规承诺函》与《货物安全保障协议书》中的具体要求，如有违反，一经发现，云途物流有权对客户交寄的禁限寄递物品采取拦截、隔离、冻结、停止运输、退回客户、扣留、销毁或依法转交有权机关处理等措施，因此产生的货物损失云途物流不承担赔偿责任，已产生的服务费用不予退还。,,,,,,,,
,如因客户违反前述寄递义务导致云途物流被政府部门、机场、港口管理部门等机构采取强制措施、行政处罚或遭受第三人索赔的，客户应按照1000元/票承担违约金，如给云途物流造成其他经济损失的（包括但不限于损害赔偿金、行政机关的罚款等），客户还应一并赔偿。,,,,,,,,
,⑧不可抗力约定：不可抗力包括但不限于社会异常事件（如罢工、骚乱、战争、恐怖主义活动、公共卫生事件、重大流行病、瘟疫等）、自然灾害（如暴风雪、冰雹、火灾、洪水、泥石流、地震、海啸、台风、停电、天灾等）、任何政府行为（如征收、征用、限制令、管制措施等）、意外交通事故、法规政策的修改、,,,,,,,,
,司法机关的行为、决定或命令、海关查验延误、航班延误及其他不可预见、不可避免且无法控制的情况或事件。在任何情况下，因不可抗力事件而产生的任何种类的任何损坏、毁坏、损失、滞期费或未履行义务，云途不向客户承担责任。,,,,,,,,
,⑨所有专线签收后的异常云途只协助开查，不保证有回复，海外未确认丢件则不予赔偿，有签收证明的云途尝试向海外申请签收证明(非签名产品则不提供)。,,,,,,,,
,⑩对于陶瓷、玻璃制品、特殊塑料工艺品等易损货物或植物及植物标本，文件、收据、回执、门票、优惠券等无票类物品，以及生食熟食、易腐烂物品等需要防热、防冷或有其他环境条件限制的货物，如客户确要发运，需自行承担货物损坏及损失的风险，云途无需就此类货物的货损承担以及退回已收取的运费；,,,,,,,,
,对于在云途服务期间云途发现已经损坏的货物，云途通知客户并与客户协商处理已损货物；如因情况紧急（例如不销毁将影响云途仓库安全或其它货物安全），云途可在紧急通知客户后径直销毁或作其它处理并不承担任何赔偿责任，客户不得无理拒绝。,,,,,,,,
,4.超云途揽收范围包裹的交寄方式及云途接收前的赔偿规则：,,,,,,,,
,①交寄方式：客户可选择自寄或第三方代揽收的方式交寄包裹，由此产生的费用均由客户承担，但选择第三方代揽收时，云途可为客户免除包裹运至揽收范围内的相关运费。不论选择何种交寄方式，客户均需要提前做好集包并确保与下单时填写的袋数/箱数保持一致。,,,,,,,,
,②赔偿规则：对于超云途揽收范围的包裹，在云途确认接收前产生的货损货失均由客户承担，云途对此不承担赔偿责任。客户自寄模式下，出现包裹问题，由客户自行向相关的服务商追偿；客户选择第三方代揽收模式下，出现包裹问题，云途可代客户或协助客户向第三方进行追偿，但客户应提供相关的证明材料，具体理赔情况以第三方最终确认的结果为准。,,,,,,,,
,云途对上述超范围包裹的交寄方式和赔偿规则保留随时调整的权利。,,,,,,,,
,七、特别说明,,,,,,,,
,1.特别提示：客户一旦同意接受我公司服务，即默认客户已详细阅读过此价格表备注内容以及我司托运条款，并接受各条款的约束。,,,,,,,,
,2.同一个收件人，同一个收件地址当天发多个包裹，申报价值会累加，累加的申报价值不能超过该国家的最高申报价值限制（瞒报被查客户承担税金）,,,,,,,,
,八、申报价值,,,,,,,,
,邮政对当天的个人总货值申报价值要求不超过1000RMB(150USD),,,,,,,,
,新加坡：2023年1月1日起新加坡将对低价值（申报价值小于等于400新币）物品增收物品及服务税，具体如下：,,,,,,,,
,1. 征税标准按照物品申报价值+保险费+运费进行征税，其税率为8%。满足以下条件之一就会征税,,,,,,,,
,"① 您上一日历年（比如2022年1月1日至12月31日）全球营业额和向新加坡销售额分别超过100万新元和100,000新元。",,,,,,,,
,"② 在未来12个月内，您的全球营业额和向新加坡销售额预计将分别超过100万新元和100,000新元（基于预期）。",,,,,,,,
,如客户在规定时间内没有缴纳物品及服务税，新加坡有权进行追缴。,,,,,,,,
