Unnamed: 0,沙特阿拉伯偏远地址库,Unnamed: 2,Unnamed: 3
,Al Ghazalah,Tier3,偏远区域
,Ar Rawdah,Tier3,偏远区域
,Ash Shamli,Tier3,偏远区域
,Asbtar,Tier3,偏远区域
,Ash Shuqayq,Tier3,偏远区域
,Dulayhan,Tier3,偏远区域
,Jubbah,Tier3,偏远区域
,Qina,Tier3,偏远区域
,Al Hufayr,Tier3,偏远区域
,Trubah,Tier3,偏远区域
,Al Mayyah,Tier3,偏远区域
,DUBAY'AH,Tier3,偏远区域
,Al JABRIYAH,Tier3,偏远区域
,Ash Shinan,Tier3,偏远区域
,Almahalah,Tier3,偏远区域
,Hullatal Ahwass,Tier3,偏远区域
,Mizhirah,Tier3,偏远区域
,Bish,Tier3,偏远区域
,Al Khashabiyah,Tier3,偏远区域
,Uthal,Tier3,偏远区域
,Umm Hazim,Tier3,偏远区域
,Uglat Asugour,Tier3,偏远区域
,Thebea,Tier3,偏远区域
,Subaih,Tier3,偏远区域
,Shari,Tier3,偏远区域
,Rawdat Al Hisu,Tier3,偏远区域
,Qusaiba,Tier3,偏远区域
,Nubayha,Tier3,偏远区域
,Mulayh,Tier3,偏远区域
,Mudarraj,Tier3,偏远区域
,Mubhel,Tier3,偏远区域
,Maraghan,Tier3,偏远区域
,Ghaf Al Jawa,Tier3,偏远区域
,Dulay Rasheed,Tier3,偏远区域
,Dariyah,Tier3,偏远区域
,Ath Thamiriyah,Tier3,偏远区域
,At Tuwalah,Tier3,偏远区域
,Ash Shimasiyah,Tier3,偏远区域
,As Sulubiayh,Tier3,偏远区域
,As Sam'uriyah,Tier3,偏远区域
,Al-Fuwayliq,Tier3,偏远区域
,Al Rafaeya'a,Tier3,偏远区域
,Al Quwarah,Tier3,偏远区域
,Al Petra,Tier3,偏远区域
,Al Mukaily,Tier3,偏远区域
,Al Khushaybi,Tier3,偏远区域
,Al Khuffiyah,Tier3,偏远区域
,Al Kharma Al Shimaliah,Tier3,偏远区域
,Al Khabra,Tier3,偏远区域
,Al Fawwarah,Tier3,偏远区域
,Al Dhahreyah,Tier3,偏远区域
,Al Butayn,Tier3,偏远区域
,Al Asyah,Tier3,偏远区域
,Al Amar,Tier3,偏远区域
,Al Dulaymiyah,Tier3,偏远区域
,Mawqaq,Tier3,偏远区域
,Baqaa,Tier3,偏远区域
,Al Qaid,Tier3,偏远区域
,Fayfa,Tier3,偏远区域
,Addayer,Tier3,偏远区域
,Damad,Tier3,偏远区域
,Dhahran Al Janoob,Tier3,偏远区域
,Al Muwayh,Tier3,偏远区域
,Al Kamil,Tier3,偏远区域
,Turbah,Tier3,偏远区域
,Khaybar,Tier3,偏远区域
,Badr,Tier3,偏远区域
,Amaq,Tier3,偏远区域
,Al Ula,Tier3,偏远区域
,Al Henakiyah,Tier3,偏远区域
,Al Birk,Tier3,偏远区域
,Al Wajh,Tier3,偏远区域
,Al Bad,Tier3,偏远区域
,An Nabhaniyah,Tier3,偏远区域
,Duhknah,Tier3,偏远区域
,Tanajib,Tier3,偏远区域
,Munifah,Tier3,偏远区域
,Al Bashayer,Tier3,偏远区域
,Ar Ruwaidah,Tier3,偏远区域
,Haql,Tier3,偏远区域
,Salwa,Tier3,偏远区域
,Wadi al Dawasir,Tier3,偏远区域
,Urayarah,Tier3,偏远区域
,Umm al Jamajim,Tier3,偏远区域
,Um Saad,Tier3,偏远区域
,Turaif,Tier3,偏远区域
,Tathleeth,Tier3,偏远区域
,Tabarjal,Tier3,偏远区域
,Sharorah,Tier3,偏远区域
,Salasil,Tier3,偏远区域
,Sajir,Tier3,偏远区域
,Sabt Al Alayah,Tier3,偏远区域
,Raudat Sudair,Tier3,偏远区域
,Ras Al Khair,Tier3,偏远区域
,Ranyah,Tier3,偏远区域
,Rafha,Tier3,偏远区域
,Rafaya Al Jemsh,Tier3,偏远区域
,Qlayyb Khedr,Tier3,偏远区域
,Qaryat Al Ulya,Tier3,偏远区域
,Nairyah,Tier3,偏远区域
,Mulayjah,Tier3,偏远区域
,Marat,Tier3,偏远区域
,Manifah,Tier3,偏远区域
,Julayjilah,Tier3,偏远区域
,Al Jouf,Tier3,偏远区域
,Howtat Bani Tamim,Tier3,偏远区域
,Halat Ammar,Tier3,偏远区域
,Farasan Island,Tier3,偏远区域
,Dumah Al Jandal,Tier3,偏远区域
,Duba,Tier3,偏远区域
,Dhahran Al Janub,Tier3,偏远区域
,Bariq,Tier3,偏远区域
,Baljurashi,Tier3,偏远区域
,As Sarrar,Tier3,偏远区域
,As Salmanyah,Tier3,偏远区域
,As Sadawi,Tier3,偏远区域
,Ar Rayn,Tier3,偏远区域
,Alsilaa,Tier3,偏远区域
,Almuzaylif,Tier3,偏远区域
,Almandaq,Tier3,偏远区域
,Almajaridah,Tier3,偏远区域
,AlKhhafah,Tier3,偏远区域
,Algayed,Tier3,偏远区域
,Al Uyaynah,Tier3,偏远区域
,Al Quwaiiyah,Tier3,偏远区域
,Al Namas,Tier3,偏远区域
,Al Makhwah,Tier3,偏远区域
,Al Hariq,Tier3,偏远区域
,Al Harajah,Tier3,偏远区域
,Al Hadithah,Tier3,偏远区域
,Al Bahah,Tier3,偏远区域
,Al Atawilah,Tier3,偏远区域
,Al Aqiq,Tier3,偏远区域
,Al Ahmar,Tier3,偏远区域
,Al Aflaj,Tier3,偏远区域
,Afif,Tier3,偏远区域
,Ad Dilam,Tier3,偏远区域
,Hareeq,Tier3,偏远区域
,Al Mozvin,Tier3,偏远区域
,Wadi Ibn Hashbal,Tier3,偏远区域
,Sarat Abidah,Tier3,偏远区域
,Muhayil,Tier3,偏远区域
,Billasmar,Tier3,偏远区域
,Al Wadeen,Tier3,偏远区域
,Ahad Rafidah,Tier3,偏远区域
,Uthmaniyah,Tier3,偏远区域
,Udhailiyah Hofuf,Tier3,偏远区域
,Judah,Tier3,偏远区域
,Juatha,Tier3,偏远区域
,Hawiyah,Tier3,偏远区域
,Haradh,Tier3,偏远区域
,Buqayq,Tier3,偏远区域
,Al Wozeyh,Tier3,偏远区域
,Al Umran,Tier3,偏远区域
,Al Taraf,Tier3,偏远区域
,Al Qarah,Tier3,偏远区域
,Al Oyun Hofuf,Tier3,偏远区域
,Al Nuzha,Tier3,偏远区域
,Abu Hadriyah,Tier3,偏远区域
,Al Aridhah,Tier3,偏远区域
,Abu Arish,Tier3,偏远区域
,Sabya,Tier3,偏远区域
,Mahalah,Tier3,偏远区域
,Jazan Economic City,Tier3,偏远区域
,Baish,Tier3,偏远区域
,Al Shuqaiq,Tier3,偏远区域
,Al Salamah,Tier3,偏远区域
,Ad Darb,Tier3,偏远区域
,Al Dhabyah,Tier3,偏远区域
,Al Karbus,Tier3,偏远区域
,Samtah,Tier3,偏远区域
,Al Tuwal,Tier3,偏远区域
,Al Mubarakah,Tier3,偏远区域
,Al Madaya,Tier3,偏远区域
,Al Jaradiyah,Tier3,偏远区域
,Al Hadror,Tier3,偏远区域
,Ahad Al Masarihah,Tier3,偏远区域
,Uyun Al Jawa,Tier3,偏远区域
,Tanomah,Tier3,偏远区域
,Riyadh Al Khabra,Tier3,偏远区域
,Jalajil,Tier3,偏远区域
,Hautat Sudair,Tier3,偏远区域
,Az Zulfi,Tier3,偏远区域
,Ayn Ibn Fuhayd,Tier3,偏远区域
,Al Oyun,Tier3,偏远区域
,Al Mithnab,Tier3,偏远区域
,Al Majmaah,Tier3,偏远区域
,Al Ghat,Tier3,偏远区域
,Al Badayea,Tier3,偏远区域
,Al Bukayriyah,Tier3,偏远区域
,Ar Rass,Tier3,偏远区域
,Thumair,Tier3,偏远区域
,Thadiq,Tier3,偏远区域
,Shaqra,Tier3,偏远区域
,Salbookh,Tier3,偏远区域
,Rumah,Tier3,偏远区域
,Huraymila,Tier3,偏远区域
,Dhurma,Tier3,偏远区域
,Al Qasab,Tier3,偏远区域
,Nimran,Tier3,偏远区域
,Mastorah,Tier3,偏远区域
,Khulais,Tier3,偏远区域
,An Nawwariyyah,Tier3,偏远区域
,Al Lith,Tier3,偏远区域
,Al Khurma,Tier3,偏远区域
,Al Jumum,Tier3,偏远区域
,Alhada,Tier3,偏远区域
,Al Ammar,Tier3,偏远区域
,Karra,Tier3,偏远区域
,Satorp,Tier3,偏远区域
,Barzan,Tier3,偏远区域
,Sadyan,Tier3,偏远区域
,Ushaiqer,Tier3,偏远区域
,Khairan,Tier3,偏远区域
,Tendaha,Tier3,偏远区域
,Al Markuz,Tier3,偏远区域
,At Timyat,Tier3,偏远区域
,Ibn Shuraym,Tier3,偏远区域
,Zibala,Tier3,偏远区域
,Ash Shu'bah,Tier3,偏远区域
,Rawdat Habbas,Tier3,偏远区域
,Al Jumaymah,Tier3,偏远区域
,arja,Tier3,偏远区域
,Majzuah,Tier3,偏远区域
,Umm Rahta,Tier3,偏远区域
,Bahr Abu Sukaynah,Tier3,偏远区域
,Jazirah,Tier3,偏远区域
,Tarqush,Tier3,偏远区域
,Khamis Mutair,Tier3,偏远区域
,Nakhal,Tier3,偏远区域
,Adham,Tier3,偏远区域
,Hajrah,Tier3,偏远区域
,Qana,Tier3,偏远区域
,Thar,Tier3,偏远区域
,Al Gayal,Tier3,偏远区域
,Al Edabi,Tier3,偏远区域
,Lahumah,Tier3,偏远区域
,Umluj,Tier3,偏远区域
,Thuwal,Tier3,偏远区域
,Saqf,Tier3,偏远区域
,Nisab,Tier3,偏远区域
,Qufar,Tier3,偏远区域
